RespondentID,FQ1,FQ2,FQ3,PU1,PU2,PU3,ATT1,ATT2,ATT3,MPO1,MPO2,MPO3
S001,2,1,2,5,5,4,3,3,3,5,4,4
S002,1,1,1,4,4,3,2,2,2,2,2,3
S003,1,2,1,2,2,2,2,2,3,1,1,1
S004,5,5,4,2,3,2,3,3,4,1,2,2
S005,2,1,1,2,1,2,2,1,1,1,2,2
S006,2,2,2,5,5,5,4,5,3,3,1,2
S007,3,4,3,1,2,2,4,5,5,5,5,5
S008,3,2,2,1,2,1,1,3,1,4,4,3
S009,2,3,1,4,3,3,4,5,4,2,2,2
S010,3,3,2,5,5,5,3,3,3,5,5,5
S011,4,4,4,5,5,5,1,1,1,4,3,3
S012,4,4,4,4,3,3,1,2,1,3,2,2
S013,4,4,3,4,2,4,2,3,2,1,1,1
S014,1,1,1,4,4,4,1,2,2,2,2,3
S015,5,4,5,1,1,1,4,3,4,1,1,2
S016,1,3,3,3,2,3,1,2,2,5,4,5
S017,4,4,5,5,5,5,1,2,2,1,1,1
S018,1,1,2,2,3,2,3,5,4,2,1,2
S019,4,4,4,2,3,3,4,4,4,4,5,4
S020,4,3,4,5,4,5,2,2,2,2,2,1
S021,3,3,3,2,4,3,1,1,1,1,1,1
S022,5,4,4,2,2,3,1,1,1,3,4,4
S023,5,4,5,4,5,5,4,4,4,1,2,2
S024,5,5,5,4,5,5,2,2,2,1,1,1
S025,5,5,5,5,4,5,5,5,5,4,5,4
S026,1,2,1,3,3,1,3,1,1,5,4,4
S027,3,4,5,1,2,1,4,4,4,2,3,4
S028,2,3,2,5,5,4,5,5,5,5,5,5
S029,4,4,4,3,3,3,3,1,2,1,1,1
S030,4,4,4,4,4,5,2,2,2,4,3,4
S031,1,1,1,1,1,1,5,5,5,4,5,5
S032,5,5,5,4,5,5,4,5,3,5,4,5
S033,1,1,1,3,3,4,4,4,3,3,3,2
S034,4,4,4,4,3,4,5,5,4,4,4,4
S035,5,5,5,5,5,5,2,1,1,3,4,4
S036,1,1,1,5,5,5,2,3,2,4,4,5
S037,3,3,3,4,3,5,1,1,1,5,4,4
S038,1,1,2,4,4,4,1,1,1,5,5,4
S039,5,5,5,3,3,4,4,5,5,3,4,3
S040,2,2,3,2,2,2,2,4,2,2,2,2
S041,5,5,5,5,5,5,1,1,1,2,2,3
S042,1,1,1,1,1,2,1,2,1,5,5,5
S043,5,5,5,3,3,3,4,3,4,1,1,1
S044,1,1,2,1,3,2,3,4,4,1,2,2
S045,5,4,3,1,2,2,2,3,3,5,5,4
S046,4,5,5,5,5,5,4,3,3,5,4,5
S047,5,5,5,1,1,1,5,4,5,3,1,2
S048,1,2,2,1,3,2,1,2,1,4,5,5
